gil,type,command,cycles,instructions,task_clock,time_elapsed,user_time,sys_time
true,plain,plain,1628968401,1628968401,4752050558,390.02,0.357980692,0.390477000,0.000000000
true,plain,plain.py,1600420527,4753646773,377.22,0.346165588,0.377573000,0.000000000
true,plain,plain.py,1641366940,4753374860,392.60,0.360446090,0.382000000,0.010914000
true,plain,plain.py,1638868803,4754140437,391.65,0.392275273,0.381944000,0.010051000
true,plain,plain.py,1686269321,4752334844,413.00,0.413632267,0.413373000,0.000000000
true,plain,plain.py,1662769092,4755221760,403.86,0.381248700,0.404172000,0.000000000
true,plain,plain.py,1648699334,4751874652,402.43,0.369307145,0.402837000,0.000000000
true,plain,plain.py,1677456181,4751581266,404.29,0.370934985,0.404645000,0.000000000
true,plain,plain.py,1634964861,4753984527,394.89,0.362378399,0.395164000,0.000000000
true,plain,plain.py,1626502646,4752440368,396.34,0.363610376,0.396647000,0.000000000
true,plain,plain.py,1617485523,4752177861,394.89,0.362276757,0.395216000,0.000000000
true,plain,plain.py,1929036922,4752206470,501.12,0.459932943,0.501523000,0.000000000
true,plain,plain.py,1649347843,4751530507,405.73,0.372233197,0.405974000,0.000000000
true,plain,plain.py,1648129741,4751754011,399.18,0.366354821,0.399467000,0.000000000
true,plain,plain.py,1660345722,4752830793,416.54,0.382190752,0.416940000,0.000000000
true,plain,plain.py,1611756007,4755365178,387.93,0.355929510,0.377514000,0.010786000
true,plain,plain.py,1615318108,4752580540,395.30,0.362720736,0.395577000,0.000000000
true,plain,plain.py,1697846126,4754675440,423.69,0.388831689,0.424053000,0.000000000
true,plain,plain.py,1729968428,4752089804,431.82,0.396229582,0.432192000,0.000000000
true,plain,plain.py,1629597382,4751843199,398.40,0.365573607,0.398776000,0.000000000
true,plain,plain.py,1620138464,4753242509,401.23,0.368185725,0.401661000,0.000000000
true,plain,plain.py,1779778661,4755291711,447.58,0.410531107,0.447836000,0.000000000
true,plain,plain.py,1669758555,4752260938,412.69,0.378815490,0.413151000,0.000000000
true,plain,plain.py,1744227867,4752970206,437.45,0.401358973,0.437753000,0.000000000
true,plain,plain.py,1655243526,4753288694,410.26,0.376376940,0.399816000,0.010805000
true,plain,plain.py,1627052357,4752007607,402.88,0.369665554,0.403209000,0.000000000
true,plain,plain.py,1612197604,4753297521,398.72,0.365793229,0.399062000,0.000000000
true,plain,plain.py,1611457805,4753194788,398.14,0.365507372,0.398573000,0.000000000
true,plain,plain.py,1622280478,4752247674,396.39,0.363739208,0.396712000,0.000000000
true,plain,plain.py,1609635228,4751990489,393.59,0.361141967,0.393930000,0.000000000
true,plain,improved.py,1314339398,3962488008,321.89,0.295460086,0.322295000,0.000000000
true,plain,improved.py,1317442429,3961264042,327.83,0.300855158,0.328107000,0.000000000
true,plain,improved.py,1306987428,3963104113,322.58,0.295999494,0.322905000,0.000000000
true,plain,improved.py,1316392125,3958944910,316.58,0.290575646,0.316906000,0.000000000
true,plain,improved.py,1315032942,3960480788,327.85,0.300929895,0.328154000,0.000000000
true,plain,improved.py,1300204902,3958322629,328.42,0.301350406,0.328722000,0.000000000
true,plain,improved.py,1302654469,3958241871,315.50,0.289544063,0.315859000,0.000000000
true,plain,improved.py,1301320267,3959377879,328.56,0.301566144,0.318276000,0.010609000
true,plain,improved.py,1298761290,3958778875,328.52,0.301448928,0.317872000,0.010961000
true,plain,improved.py,1306080886,3959299477,324.33,0.297660305,0.313823000,0.010821000
true,plain,improved.py,1318763139,3959354446,327.39,0.300512421,0.327741000,0.000000000
true,plain,improved.py,1303468610,3959115850,323.76,0.297119325,0.324097000,0.000000000
true,plain,improved.py,1302781261,3960923558,318.21,0.292025630,0.318502000,0.000000000
true,plain,improved.py,1306957812,3958854407,317.58,0.291462432,0.317820000,0.000000000
true,plain,improved.py,1317391405,3959117362,317.07,0.291022483,0.317432000,0.000000000
true,plain,improved.py,1327648731,3958340692,322.14,0.295610979,0.322467000,0.000000000
true,plain,improved.py,1309862239,3959085650,319.41,0.293079844,0.319741000,0.000000000
true,plain,improved.py,1309350167,3959546334,317.13,0.290990487,0.317462000,0.000000000
true,plain,improved.py,1300614064,3958740425,317.79,0.291640354,0.307177000,0.010970000
true,plain,improved.py,1308634869,3959956333,331.57,0.304228138,0.331859000,0.000000000
true,plain,improved.py,1303429529,3961050146,314.25,0.288323832,0.314591000,0.000000000
true,plain,improved.py,1302302536,3960457369,318.31,0.292216697,0.318693000,0.000000000
true,plain,improved.py,1313020728,3959171318,327.68,0.300713772,0.327983000,0.000000000
true,plain,improved.py,1307418923,3960719031,320.61,0.294276100,0.320941000,0.000000000
true,plain,improved.py,1302199024,3960283884,320.09,0.293753686,0.320410000,0.000000000
true,plain,improved.py,1312863497,3960374782,315.90,0.289967273,0.316264000,0.000000000
true,plain,improved.py,1409014809,3958510601,355.94,0.326714790,0.345450000,0.010795000
true,plain,improved.py,1401913449,3958863068,352.63,0.323585823,0.342242000,0.010695000
true,plain,improved.py,1306379095,3961768191,320.78,0.294356865,0.321110000,0.000000000
true,plain,improved.py,1366950328,3958157281,341.41,0.313401593,0.341665000,0.000000000
true,plain,itertools.py,1310850700,3946599892,326.13,0.299278726,0.326463000,0.000000000
true,plain,itertools.py,1385908118,3949168095,352.70,0.323575216,0.352988000,0.000000000
true,plain,itertools.py,1320875657,3946007519,320.82,0.294792128,0.321569000,0.000000000
true,plain,itertools.py,1304438835,3945777692,315.73,0.289831572,0.305303000,0.010903000
true,plain,itertools.py,1445157890,3945161527,361.42,0.331696186,0.361769000,0.000000000
true,plain,itertools.py,1506429533,3946517866,375.93,0.345002161,0.365504000,0.010750000
true,plain,itertools.py,1348779493,3945702698,336.98,0.309192339,0.326476000,0.010882000
true,plain,itertools.py,1343465268,3945278914,339.04,0.311087973,0.339314000,0.000000000
true,plain,itertools.py,1316180464,3946618613,326.34,0.299456409,0.326631000,0.000000000
true,plain,itertools.py,1397841547,3945967656,354.74,0.325537580,0.355061000,0.000000000
true,plain,itertools.py,1313060946,3946951321,324.34,0.297658265,0.324643000,0.000000000
true,plain,itertools.py,1302918544,3944149576,320.26,0.293985721,0.320482000,0.000000000
true,plain,itertools.py,1328058677,3944568265,325.89,0.299055327,0.326179000,0.000000000
true,plain,itertools.py,1303407481,3945451581,322.09,0.295567433,0.322468000,0.000000000
true,plain,itertools.py,1347725813,3946529640,331.91,0.304605223,0.321146000,0.011074000
true,plain,itertools.py,1320865614,3944214531,332.83,0.305503151,0.322414000,0.010747000
true,plain,itertools.py,1303590393,3944784549,313.11,0.287428248,0.302646000,0.010808000
true,plain,itertools.py,1305970692,3945778919,322.24,0.295679693,0.322557000,0.000000000
true,plain,itertools.py,1304231350,3947484390,320.93,0.294607560,0.321181000,0.000000000
true,plain,itertools.py,1301032147,3945201063,315.58,0.289654359,0.305016000,0.010893000
true,plain,itertools.py,1303935571,3947020915,323.36,0.296784840,0.323675000,0.000000000
true,plain,itertools.py,1309911014,3944131799,320.90,0.294446063,0.321220000,0.000000000
true,plain,itertools.py,1310246094,3945807222,327.99,0.301078527,0.328329000,0.000000000
true,plain,itertools.py,1301979392,3944655345,322.27,0.295822895,0.311887000,0.010754000
true,plain,itertools.py,1303319870,3946333924,325.39,0.298579692,0.325716000,0.000000000
true,plain,itertools.py,1328742250,3948266899,323.61,0.296945982,0.323917000,0.000000000
true,plain,itertools.py,1308547799,3945723092,326.67,0.299783790,0.327044000,0.000000000
true,plain,itertools.py,1331162844,3943975644,331.23,0.303956865,0.331523000,0.000000000
true,plain,itertools.py,1298807601,3944676982,314.36,0.288595730,0.314745000,0.000000000
true,plain,itertools.py,1305684292,3944408465,325.76,0.298917985,0.326100000,0.000000000
true,plain,lib.py,88097825,146208911,23.17,0.021480748,0.023419000,0.000000000
true,plain,lib.py,85520267,146125068,22.39,0.020708226,0.022705000,0.000000000
true,plain,lib.py,87575362,146003184,23.12,0.021479985,0.011726000,0.011726000
true,plain,lib.py,84945157,146159170,21.64,0.020142076,0.021947000,0.000000000
true,plain,lib.py,86595656,146198021,22.27,0.020684441,0.022587000,0.000000000
true,plain,lib.py,87811703,146096741,23.08,0.021486707,0.023409000,0.000000000
true,plain,lib.py,85253367,146155134,22.32,0.020783668,0.011300000,0.011300000
true,plain,lib.py,83918986,146162074,21.40,0.019937968,0.021736000,0.000000000
true,plain,lib.py,85169617,146012701,21.83,0.020284901,0.022162000,0.000000000
true,plain,lib.py,87286741,146159497,22.91,0.021273425,0.023193000,0.000000000
true,plain,lib.py,90519404,146356010,25.45,0.023733763,0.012933000,0.012933000
